"Valid Values","Description","source"
"CD8-alpha-negative CD11b-negative dendritic cell","CD8-alpha-negative CD11b-negative dendritic cell is a conventional dendritic cell that is CD11b-negative, CD4-negative CD8-alpha-negative and is CD205-positive. This cell is able to cross- present antigen to CD8-alpha-positive T cells. Synonyms: DC.8-4-11b-, triple negative dendritic cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD4-positive CD11b-positive dendritic cell","CD8-alpha-negative CD11b-positive dendritic cell is a conventional dendritic cell that is CD11b-positive, CD4-positive and is CD205-negative and CD8-alpha-negative. Synonyms: DC.4+","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-alpha-positive CD11b-negative dendritic cell","CD8-alpha-positive CD11b-negative dendritic cell is a conventional dendritic cell that is CD11b-negative, CD4-negative and is CD205-positive and CD8-alpha-positive. Synonyms: DC.8+","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature CD8-alpha-negative CD11b-negative dendritic cell","Immature CD8-alpha-negative CD11b-negative dendritic cell is a CD8-alpha-negative CD11b-negative dendritic cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature CD8-alpha-negative CD11b-negative dendritic cell","Mature CD8-alpha-negative CD11b-negative dendritic cell is a CD8-alpha-negative CD11b-negative dendritic cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature CD8-alpha-negative CD11b-positive dendritic cell","Mature CD8-alpha-negative CD11b-positive dendritic cell is a CD8-alpha-negative CD11b-positive dendritic cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature CD8-alpha-positive CD11b-negative dendritic cell","Immature CD8-alpha-positive CD11b-negative dendritic cell is a CD8-alpha-positive CD11b-negative dendritic cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature CD8-alpha-positive CD11b-negative dendritic cell","Mature CD8-alpha-positive CD11b-negative dendritic cell is a CD8-alpha-positive CD11b-negative dendritic cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"dermal dendritic cell","Dermal dendritic cell is a conventional dendritic cell that is CD11b-positive, CD205-positive and CD8 alpha-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"interstitial dendritic cell","Interstitial dendritic cell is a conventional dendritic cell that is CD11b-positive, CD1a-positive, CD206-positive, CD209-positive, and CD36-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit and Sca1-positive hematopoietic stem cell","A hematopoietic stem cell that has plasma membrane part Kit-positive, SCA-1-positive, CD150-positive and CD34-negative. Synonyms: LSK stem cell, Sca1-positive hematopoietic stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature dermal dendritic cell","Immature dermal dendritic cell is a dermal dendritic cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature dermal dendritic cell","Mature dermal dendritic cell is a dermal dendritic cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature interstitial dendritic cell","Immature interstitial dendritic cell is a interstitial dendritic cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature interstitial dendritic cell","Mature interstitial dendritic cell is a interstitial dendritic cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD1a-positive Langerhans cell","CD1a-positive Langerhans cell is a Langerhans_cell that is CD1a-positive and CD324-positive. Synonyms: CD1a-LC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-alpha-low Langerhans cell","CD8-alpha-low Langerhans cell is a Langerhans cell that is CD205-high and is CD8-alpha-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature CD1a-positive Langerhans cell","Immature CD1a-positive Langerhans cell is a CD1a-positive Langerhans cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature CD1a-positive Langerhans cell","Mature CD1a-positive Langerhans cell is a CD1a-positive Langerhans cell that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature CD8-alpha-low Langerhans cell","Immature CD8-alpha-low Langerhans cell is a CD8-alpha-low Langerhans cell that is CD80-low, CD86-low, and MHCII-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD115-positive monocyte OR common dendritic progenitor",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"mature CD8-alpha-low Langerhans cell","Mature CD8-alpha-low Langerhans cell is a CD8-alpha-low Langerhans cell that that is CD80-high, CD86-high, MHCII-high and is CD83-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-positive common lymphoid progenitor","A common lymphoid progenitor that is CD10-positive, CD45RA-positive, CD34-positive and CD38-positive. Synonyms: CD10-positive common lymphocyte precursor, CD10-positive common lymphocyte progenitor, CD10-positive common lymphoid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD115-positive monocyte","CD115-positive monocyte is a monocyte that is CD115-positive and CD11b-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive, CD34-positive common myeloid progenitor","A common myeloid progenitor that is Kit-positive and CD34-positive, Il7ra-negative, and is SCA1-low and Fcgr2-low and Fcgr3-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-negative hematopoietic stem cell","CD133-positive hematopoietic stem cell is a hematopoietic stem cell that is CD34-positive, CD90-positive, and CD133-positive. Synonyms: CD133-positive hematopoietic stem cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive, Sca1-positive common lymphoid progenitor","A common lymphoid progenitor that is Kit-low, FLT3-positive, IL7ralpha-positive, and SCA1-low. Synonyms: CD217-positive common lymphocyte precursor, CD217-positive common lymphocyte progenitor, CD217-positive common lymphoid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-positive common myeloid progenitor","A common myeloid progenitor that is CD34-positive, CD38-positive, IL3ra-low, CD10-negative, CD7-negative, CD45RA-negative, and IL-5Ralpha-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD7-negative lymphoid progenitor cell","CD7-negative lymphoid progenitor cell is a lymphoid progenitor cell that is CD34-positive, CD7-negative and CD45RA-negative. Synonyms: CD7-negative lymphoid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD7-positive lymphoid progenitor cell","CD7-positive lymphoid progenitor cell is a lymphoid progenitor cell that is CD34-positive, CD7-positive and is CD45RA-negative. Synonyms: CD7-positive lymphoid precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"common dendritic progenitor","Common dendritic precursor is a hematopoietic progenitor cell that is CD117-low, CD135-positive, CD115-positive and lacks plasma membrane parts for hematopoietic lineage markers. Synonyms: CDP, common dendritic precursor, pro-DCs","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD117-positive common myeloid progenitor OR CD217-positive common lymphoid progenitor",,"http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cerebellar granule cell","An excitatory granule cell with a soma located in the granular layer of cerebellar cortex. A mature cerebellar granule cell has short dendrites with a characteristic claw-like appearance and a long axon that ascends to the molecular layer where it bifurcates (except in non-teleost fish, where it does not bifurcate) and extends mediolaterally to form parallel fibers. Synonyms: granule cell of the cerebellum","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cortical granule cell","Granule cell that is part of the cerebral cortex.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hippocampal granule cell","Granule cell with a soma found in the hippocampus.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"cell in vitro","A cell that is maintained or propagated in a controlled artificial environment for use in an investigation.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"bone cell","A connective tissue cell found in bone.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"terminally differentiated osteoblast","Osteoblast that is terminally differentiated, located adjacent to acellular or cellular bone tissue within periosteum, and is capable of mineralizing the matrix.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"non-terminally differentiated osteoblast","Osteoblast that is non-terminally differentiated and located in cellular bone tissue or under the periosteum in acellular bone.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-positive, CXCR3-positive, alpha-beta regulatory T cell","A CD8-positive alpha-beta-positive T cell with the phenotype CXCR3-positive and having suppressor function. They are capable of producing IL-10, suppressing proliferation, and suppressing IFN-gamma production. Synonyms: CD8+CXCR3+ T cell, CD8+CXCR3+ T lymphocyte, CD8+CXCR3+ T(reg), CD8+CXCR3+ T-cell, CD8+CXCR3+ Treg, CD8-positive, CXCR3-positive, T(reg), CD8-positive, CXCR3-positive, Treg, CD8-positive, CXCR3-positive, alpha-beta regulatory T lymphocyte, CD8-positive, CXCR3-positive, alpha-beta regulatory T-cell, CD8-positive, CXCR3-positive, alpha-beta regulatory T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"T-helper 22 cell","CD4-positive, alpha-beta T cell that produces IL-22. Synonyms: T(H)-22 cell, Th22 T cell, Th22 T lymphocyte, Th22 T-cell, Th22 T-lymphocyte, Th22 cell, helper T cell type 22","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"activated CD4-positive, alpha-beta T cell, human","A recently activated CD4-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, and CD25-positive. Synonyms: activated CD4-positive, alpha-beta T lymphocyte, human, activated CD4-positive, alpha-beta T-cell, human, activated CD4-positive, alpha-beta T-lymphocyte, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"effector CD4-positive, alpha-beta T cell","A CD4-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive. Synonyms: effector CD4-positive, alpha-beta T lymphocyte, effector CD4-positive, alpha-beta T-cell, effector CD4-positive, alpha-beta T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"naive CCR4-positive regulatory T cell","A naive regulatory T cell with the phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-negative. Synonyms: naive CCR4+ Treg, naive CCR4-positive regulatory T lymphocyte, naive CCR4-positive regulatory T-cell, naive CCR4-positive regulatory T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"memory CCR4-positive regulatory T cell","A memory regulatory T cell with phenotype CD4-positive, CD25-positive, CD127lo, CCR4-positive, and CD45RO-positive. Synonyms: memory CCR4+ Treg, memory CCR4-positive regulatory T lymphocyte, memory CCR4-positive regulatory T-cell, memory CCR4-positive regulatory T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell","A CD4-positive, CD25-positive, alpha-beta regulatory T cell with the additional phenotype CCR4-positive. Synonyms: CCR+ Treg, CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte, CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell, CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T cell, human","A CD4-positive, CD25-positive, CCR4-positive, alpha-beta T regulatory cell with the phenotype HLA-DRA-positive, indicating recent activation. Synonyms: activated CCR4+ Treg, activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T lymphocyte, activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-cell, activated CD4-positive, CD25-positive, CCR4-positive, alpha-beta regulatory T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"activated CD8-positive, alpha-beta T cell, human","A recently activated CD8-positive, alpha-beta T cell with the phenotype HLA-DRA-positive, CD38-positive, CD69-positive, CD62L-negative, CD127-negative, CCR7-negative, and CD25-positive. Synonyms: activated CD8-positive, alpha-beta T lymphocyte, human, activated CD8-positive, alpha-beta T-cell, human, activated CD8-positive, alpha-beta T-lymphocyte, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"effector CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell with the phenotype CCR7-negative, CD45RA-positive. Synonyms: effector CD8-positive, alpha-beta T lymphocyte, effector CD8-positive, alpha-beta T-cell, effector CD8-positive, alpha-beta T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell","A CD4-positive, alpha-beta T cell that has the phenotype CXCR3-negative, CCR6-negative. Synonyms: CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte, CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell, CD4-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell","A CD8-positive, alpha-beta T cell that has the phenotype CXCR3-negative, CCR6-negative. Synonyms: CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte, CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell, CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"IgD-negative memory B cell","A memory B cell that lacks expression of surface IgD. Synonyms: IgD- memory B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD14-positive monocyte","A monocyte that expresses CD14 and is negative for the lineage markers CD3, CD19, and CD20.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD14-positive, CD16-low monocyte","An intermediate monocyte that is CD14-positive and with low amounts of CD16. Synonyms: intermediate monocyte, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"dendritic cell, human","A dendritic cell with the phenotype HLA-DRA-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"myeloid dendritic cell, human","A myeloid dendritic cell with the phenotype HLA-DRA-positive and CD14-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"plasmacytoid dendritic cell, human","A plasmacytoid dendritic cell with the phenotype HLA-DRA-positive, CD123-positive, CD11c-negative, and CD14-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"common myeloid progenitor, CD34-positive","A progenitor cell committed to myeloid lineage, including the megakaryocyte and erythroid lineages. These cells are CD34-positive, and express Gata1, Gata2, C/EBPa, and Pu.1. Synonyms: common myeloid precursor, CD34-positive","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"hematopoietic oligopotent progenitor cell, lineage-negative","A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"abnormal cell","A cell found in an organism or derived from an organism exhibiting a phenotype that deviates from the expected phenotype of any native cell type of that organism. Abnormal cells are typically found in disease states or disease models.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"effector memory CD8-positive, alpha-beta T cell, terminally differentiated","A CD8-positive, alpha beta memory T cell with the phenotype CD45RA-positive, CD45RO-negative, and CCR7-negative. Synonyms: CD8+ TEMRA, CD8-positive TEMRA","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"neoplastic cell","An abnormal cell exhibiting dysregulation of cell proliferation or programmed cell death and capable of forming a neoplasm, an aggregate of cells in the form of a tumor mass or an excess number of abnormal cells (liquid tumor) within an organism.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"malignant cell","A neoplastic cell that is capable of entering a surrounding tissue","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"innate lymphoid cell","A lymphocyte that lacks characteristic T cell, B cell, myeloid cell, and dendritic cell markers, that functions as part of the innate immune response to produce cytokines and other effector responses.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"erythroid progenitor cell, mammalian","A progenitor cell committed to the erythroid lineage. This cell is ter119-positive but lacks expression of other hematopoietic lineage markers (lin-negative).","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"group 1 innate lymphoid cell","An innate lymphoid cell that is capable of producing the type 1 cytokine IFN-gamma, but not Th2 or Th17 cell-associated cytokines.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ILC1","A group 1 innate lymphoid cell that is non-cytotoxic.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"group 2 innate lymphoid cell","An innate lymphoid cell that is capable of producing T-helper 2-cell associated cytokines upon stimulation. Synonyms: ILC2, natural helper cell, nuocyte","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"beige adipocyte","An adipocyte that is beige in color, thermogenic, and which differentiates in white fat tissue from a Myf5-negative progenitor. Synonyms: beige brown adipocyte, beige fat cell, beige/brite adipocyte, brite adipocyte, brite cell, brite fat cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"group 3 innate lymphoid cell","An innate lymphoid cell that constituitively expresses RORgt and is capable of expressing IL17A and/or IL-22. Synonyms: ILC3","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-negative, CD117-positive innate lymphoid cell, human","An innate lymphoid cell in the human with the phenotype CD34-negative, CD117-positive, and a precusor to NK cells, ILC2 cells, and ILC3 cells. Synonyms: CD34-negative, CD117-positive ILC, CD34-negative, CD117-positive ILCP, CD34-negative, CD117-positive innate lymphoid cell precusor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-negative, CD56-positive, CD117-positive innate lymphoid cell, human","An innate lymphoid cell in the human with the phenotype CD34-negative, CD56-positive, CD117-positive.Thie cell type may include precusors to NK cells and ILC3 cells. Synonyms: CD34-negative, CD56-positive, CD117-positive ILC, CD34-negative, CD56-positive, CD117-positive ILCP, CD34-negative, CD56-positive, CD117-positive innate lymphoid cell precursor","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human","An innate lymphoid cell precursor in the human with the phenotype CD34-positive, CD56-positive, CD117-positive.Thie cell type may include precusors to NK cells and ILC3 cells. Synonyms: CD34-positive, CD56-positive, CD117-positive CILP","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"KLRG1-positive innate lymphoid cell, human","An innate lymphoid cell in the human with the phenotype KLRG1-positive that is a precusor for ILC2 cells. Synonyms: KLRG1-positive ILC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"NKp46-positive innate lymphoid cell, human","An innate lymphoid cell in the human with the phenotype NKp46-positive that is a precusor for NK cells and ILC3 cells. Synonyms: NKp46-positive ILC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"ILC1, human","An ILC1 cell in the human with the phenotype CD56-negative, IL-7Ralpha-positive, T-bet-positive. Synonyms: innate lymphoid cell 1, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"group 3 innate lymphoid cell, human","A group 3 innate lymphoid cell in the human with the phenotype IL-7Ralpha-positive. Synonyms: ILC3, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"NKp44-positive group 3 innate lymphoid cell, human","A group 3 innate lymphoid cell in the human with the phenotype IL-7Ralpha-positive, and NKp44-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"NKp44-negative group 3 innate lymphoid cell, human","A group 3 innate lymphoid cell in the human with the phenotype IL-7Ralpha-positive, and NKp44-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"group 2 innate lymphoid cell, human","A group 2 innate lymphoid cell in the human with the phenotype CD25-positive, CD127-positive, CD161-positive, and GATA-3-positive. Synonyms: ILC2, human","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"immature innate lymphoid cell","An innate lyphoid cell with an immature phenotype. Synonyms: immature ILC","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"effector memory CD4-positive, alpha-beta T cell, terminally differentiated","A CD4-positive, alpha beta memory T cell with the phenotype CD45RA-positive, CD45RO-negative, and CCR7-negative. Synonyms: CD4+ TEMRA, CD4-positive TEMRA","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"lymphocyte of B lineage, CD19-positive","A lymphocyte of B lineage that is CD19-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"B cell, CD19-positive","A B cell that is CD19-positive. Synonyms: B lymphocyte, CD19-positive, B-cell, CD19-positive, B-lymphocyte, CD19-positive, CD19+ B cell, CD19-positive B cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD86-positive plasmablast","A plasmablast that is CD86-positive. Synonyms: CD86+ plasmablast","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD8-positive, alpha-beta memory T cell, CD45RO-positive","A CD8-positive, alpha-beta T cell with memory phenotype indicated by being CD45RO and CD127-positive. This cell type is also described as being CD25-negative. Synonyms: CD8-positive, alpha-beta memory T lymphocyte, CD45RO-positive, CD8-positive, alpha-beta memory T-cell, CD45RO-positive, CD8-positive, alpha-beta memory T-lymphocyte, CD45RO-positive","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD4-positive, alpha-beta memory T cell, CD45RO-positive","CD4-positive, alpha-beta long-lived T cell with the phenotype CD45RO-positive and CD127-positive. This cell type is also described as being CD25-negative. Synonyms: CD4-positive, alpha-beta memory T lymphocyte, CD45RO-positive, CD4-positive, alpha-beta memory T-cell, CD45RO-positive, CD4-positive, alpha-beta memory T-lymphocyte, CD45RO-positive","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive erythroid progenitor cell","An erythroid progenitor cell is Kit-positive, Ly6A-negative, CD41-negative, CD127-negative, and CD123-negative. This cell type is also described as being lin-negative, Kit-positive, CD150-negative, CD41-negative, CD105-positive, and FcgR-negative. Synonyms: c- Kit-positive erythroid progenitor cell","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-positive granulocyte monocyte progenitor","A granulocyte monocyte progenitor is CD34-positive, CD38-positive, IL-3receptor-alpha-positive and is CD45RA-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive granulocyte monocyte progenitor","A granulocyte monocyte progenitor that is Kit-positive, CD34-positive, Fc-gamma receptor II/II-positive, and is Sca-1-negative, Il7ra-negative, Cxc3r1-negative, and CD90-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, GlyA-negative erythroid progenitor cell","An erythroid progenitor cell that is CD34-positive and is GlyA-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-negative, GlyA-negative proerythroblast","A proerythoblast that is CD34-negative and GlyA-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell","A megakaryocyte erythroid progenitor cell is CD34-positive, CD38-positive and is IL3-receptor alpha-negative and CD45RA-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive, CD34-negative megakaryocyte erythroid progenitor cell","A megakaryocyte erythroid progenitor cell that is Kit-positive and is Sca1-negative, CD34-negative, CD90-negative, IL7r-alpha-negative and Fcgr II/III-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-low, CD34-positive eosinophil progenitor cell","A lineage marker-negative, CD34-positive, IL5r-alpha-positive, and Sca1-negative eosinophil progenitor cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD38-positive eosinophil progenitor cell","A lineage marker-negative, CD34-positive, CD38-positive, IL3r-alpha-positive, IL5r-alpha-positive, and CD45RA-negative eosinophil progenitor cell.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"macrophage dendritic cell progenitor","A progenitor cell that can give rise to plasmacytoid and myeloid dendritic cells, and to monocytes and macrophages. Synonyms: MDP","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"pre-conventional dendritic cell","A lin-negative, MHC-II-negative, CD11c-positive, FLT3-positive cell with intermediate expression of SIRP-alpha.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive macrophage dendritic cell progenitor","A progenitor cell that can give rise to plasmacytoid and myeloid dendritic cells, and to monocytes and macrophages. Marker for this cell is Kit-high, CD115-positive, CD135-positive, Cx3cr1-positive, and is Il7ra-negative. Synonyms: murine MDP","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"GlyA-positive basophilic erythroblast","A basophilic erythroblast that is GlyA-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD71-low, GlyA-positive polychromatic erythroblast","A polychromatiic erythroblast that is Gly-A-positive and CD71-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD71-negative, GlyA-positive orthochromatic erythroblast","An erythroblast that is GlyA-positive and CD71-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"GlyA-positive reticulocytes","A reticulocyte that is GlyA-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"GlyA-positive erythrocyte","An enucleate erythrocyte that is GlyA-positive.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell","A megakaroycotye progenitor cell that is CD34-positive, CD41-positive and CD42-positive on the cell surface.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"Kit-positive megakaryocyte progenitor cell","A megakaryocyte progenitor cell that is Kit-positive, CD41-positive, CD9-positive, Sca-1-negative, IL7ralpha-negative, CD150-negative, and Fcgamma receptor II/III-low.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
"CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell","A megakaryocyte progenitor cell that is CD34-positive, CD41-positive, and CD42-negative.","http://purl.obolibrary.org/obo/cl/releases/2026-03-26/cl.owl"
