"Attribute","Description","Valid Values","DependsOn","Required","Parent","Source","Validation Rules","columnType","Format","Minimum","Maximum","Pattern"
"anatomicalSite","The anatomical site, i.e., location on or within the body, from which the biospecimen was collected. This attribute is required depending on the value selected for biospecimenType.","Subdivision of cardinal body part, Subdivision of body proper, Subdivision of head, Limb region, Subdivision of hip, Back of body proper, Free limb region, Subdivision of neck, Face, Axilla, Free limb, Hip, Subdivision of trunk, Shoulder, Buttock, Front of body proper, Cervicothoracic region, Region of buttock, Subdivision of axilla, Greater trochanteric region of hip, Lateral half of back, Right side of head, Left side of head, Vertebral region of back, Subdivision of face, Head proper, Subdivision of head proper, Neck, Trunk, Subdivision of shoulder, Crown of head, Anterior region of face, Posterolateral part of neck, Suprasternal notch region of neck, Side of face, Perinasal region of lateral half of face, Eyebrow region, Quadrant of buttock, Subdivision of front of trunk, Nasomaxillary part of face, Pectoral girdle region, Body wall, Waist, Subdivision of back of neck, Back of neck, Front of neck, Free upper limb region, Free lower limb region, Free upper limb, Free lower limb, Right hip, Left hip, Trunk proper, Back, Right buttock, Left buttock, Wall of abdominal segment of trunk, Subdivision of trunk proper, Subdivision of back, Thoracic segment of trunk, Subdivision of body wall, Midface, Axilla proper, Superolateral region of buttock, Superomedial region of buttock, Inferomedial region of buttock, Inferolateral region of buttock, Cerebral part of head, Cerebral part proper of head, Auriculotemporal part of head, Wall of head proper, Subdivision of wall of head proper, Lateral half of trunk, Lateral half of face, Lateral half of nose, Peri-orbital region of face, Supraclavicular part of neck, Lateral region of trunk, Axillary fold, Sacro-iliac region, Presacral region of pelvis, Eyelid complex, Extra-articular region of shoulder, Right shoulder, Left shoulder, Acromial region of shoulder, Wall of axilla, Base of axilla, Right axilla, Left axilla, Frontal part of head, Nose, Subdivision of external nose, Subdivision of mouth, Mouth, Occipital part of head, Eyelid, Eye, External nose, Subdivision of front of neck, Subdivision of auriculotemporal part of head, Parietal part of head, Subdivision of frontal part of head, Deltoid region of shoulder, Lateral part of neck, Scapular region of shoulder, Pectoral region of shoulder, Anterolateral part of neck, Cardinal free limb region, Digit, Posterior body wall, Right lateral half of face, Left lateral half of face, Renal region of back, Back of upper thorax, Back of lower thorax, Midline region of external nose, Milkline region of trunk, Anterior axillary line region of trunk, Posterior axillary line region of trunk, Midaxillary line region of trunk, Lateral wall of external nose, Medial part of lower limb, Lateral part of lower limb, Left lateral half of nose, Right lateral half of nose, Lateral half of thoracic segment of trunk, Lateral half of back of thorax, Back of pelvis, Distal free upper limb region, Middle free lower limb region, Proximal free lower limb region, Middle free upper limb region, Distal free lower limb region, Proximal free upper limb region, Back of free lower limb, Back of free upper limb, Anterior part of floor of mouth, Posterior part of floor of mouth, Right side of chin, Left side of chin, Throat, Inferior part of back of neck, Superior part of back of neck, Right half of inferior part of back of neck, Left half of inferior part of back of neck, Thoracolumbar part of back, Back of thorax, Right free upper limb, Left free upper limb, Right free lower limb, Left free lower limb, Elbow, Wrist, Front of free upper limb, Knee, Back of upper limb, Front of upper limb, Front of lower limb, Back of lower limb, Segment of wrist, Mandibular part proper of mouth, Thoracic segment of body wall, Abdominal segment of body wall, Region of labial part of mouth, Vestibular part of mouth, External part of mouth, Internal part of mouth, External mandibular part of mouth, Right side of maxillary alveolodental arch, Left side of maxillary alveolodental arch, Glosso-epiglottic region of mouth, Right axilla proper, Left axilla proper, Superolateral region of right buttock, Superolateral region of left buttock, Superomedial region of right buttock, Superomedial region of left buttock, Inferomedial region of right buttock, Inferomedial region of left buttock, Inferolateral region of right buttock, Inferolateral region of left buttock, Nasal sill, Right auriculotemporal part of head, Left auriculotemporal part of head, Temple, Parietal wall of head proper, Occipital wall of head proper, Vertebral region of back of neck, Paravertebral region of back of neck, Chirocarpal region, Lateral half of external nose, Lateral half of chin, Lateral half of lumbar region of back, Achilles region, Vertebral part of cervicothoracic region of back, Vertebral part of thoracolumbar region of back, Vertebral part of lumbosacral region of back, Vertebral part of sacrococcygeal region of back, Right lateral half of trunk, Left lateral half of trunk, Cervicothoracic region of back, Lumbar region of back, Lumbosacral region of back, Sacrococcygeal region of back, Coccygeal region of back, Retro-auricular part of head, Right peri-orbital region of face, Left peri-orbital region of face, Anterior axillary fold, Posterior axillary fold, Region of elbow, Lateral part of floor of mouth, Lower part of back of thorax, Upper part of back of thorax, Paravertebral part of back of abdomen, Acromial part of right shoulder, Acromial part of left shoulder, Wall of right axilla, Wall of left axilla, Cheek, Chin, Ear, External ear, Upper eyelid, Lower eyelid, Right eye, Left eye, Mandibular part of mouth, Root of nose, Dorsum of nose, Tip of nose, Ala of nose, Columella, Labial part of mouth, Subdivision of cheek, Right half of front of neck, Left half of front of neck, Back of abdomen, Vertebral part of back of abdomen, Subdivision of external ear, Auricular part of head, Right parietal part of head, Left parietal part of head, Forehead, Frontal part proper of head, Temporal part of head, Subdivision of temporal part of head, Deltoid part of right shoulder, Deltoid part of left shoulder, Base of right axilla, Base of left axilla, Right lateral part of neck, Left lateral part of neck, Subdivision of back of thorax, Region of knee, Region of ankle, Angle of mouth, Scapular part of right shoulder, Scapular part of left shoulder, Pectoral part of right shoulder, Pectoral part of left shoulder, Proximal free limb region, Distal free limb region, Middle free limb region, Floor of mouth, Ankle, Anterolateral part of elbow, Anterolateral part of knee, Anteromedial part of knee, Posterolateral part of elbow, Posterolateral part of knee, Posteromedial part of elbow, Posteromedial part of knee, Knee crease, Medial part of ankle, Lateral part of ankle, Anteromedial part of elbow, Left lateral half of external nose, Right lateral half of external nose, Supra-auricular part of head, Interscapular part of back, Infrascapular part of back, Right elbow, Left elbow, Anterior part of elbow, Posterior part of elbow, Anterior part of wrist, Posterior part of wrist, Right wrist, Left wrist, Right ankle, Left ankle, Anterior part of knee, Popliteal part of knee, Right knee, Left knee, Anterior part of ankle, Posterior part of ankle, Front of right upper limb, Front of left upper limb, Back of right upper limb, Back of left upper limb, Front of right lower limb, Front of left lower limb, Back of right lower limb, Back of left lower limb, Malleolar part of ankle, Proximal segment of wrist, Distal segment of wrist, Right mandibular part proper of mouth, Left mandibular part proper of mouth, Lip proper, Region of upper lip, Region of lower lip, Vermilion complex, Region of vermilion, Right nasal sill, Left nasal sill, Temporal part proper of head, Right angle of mouth, Left angle of mouth, Right temple, Left temple, Right parietal wall of head proper, Left parietal wall of head proper, Right paravertebral region of back of neck, Left paravertebral region of back of neck, Right chirocarpal region, Left chirocarpal region, Right retro-auricular part of head, Left retro-auricular part of head, Region of anterior part of elbow, Lateral part of elbow, Medial part of elbow, Temple region of temporal part of head, Cheek proper, Lateral part of cheek, Right cheek, Left cheek, Right ear, Left ear, Right external ear, Left external ear, Right upper eyelid, Left upper eyelid, Right lower eyelid, Left lower eyelid, Pinna, Right auricular part of head, Left auricular part of head, Right ala of nose, Left ala of nose, Lip, Vermilion, Subdivision of pinna, Infra-orbital part of cheek, Zygomatic part of cheek, Subdivision of external acoustic tube, Pre-auricular part of cheek, Mastoid part of head, External acoustic tube, Right temporal part of head, Left temporal part of head, Subdivision of anterior part of knee, Lateral part of knee, Medial part of knee, Region of posterior part of elbow, Scapular part of back, Obverse part of pinna, Right supra-auricular part of head, Left supra-auricular part of head, Wall of subdivision of external acoustic tube, Right side of upper lip, Left side of upper lip, Lateral part of lower lip, Middle part of lower lip, Right side of lower lip, Left side of lower lip, Anterior part of right elbow, Anterior part of left elbow, Posterior part of right elbow, Posterior part of left elbow, Medial malleolar part of ankle, Lateral malleolar part of ankle, Proximal segment of right wrist, Proximal segment of left wrist, Distal segment of right wrist, Distal segment of left wrist, Region of upper lip proper, Vermilion proper, Vermilion border region, Region of lower lip proper, Region of philtrum, Vermilion of right side of upper lip, Vermilion of left side of upper lip, Vermilion proper of right side of upper lip, Vermilion proper of left side of upper lip, Vermilion border region of right side of upper lip, Vermilion border region of left side of upper lip, Right temporal part proper of head, Left temporal part proper of head, Subdivision of helix, Lateral half of upper lip, Elbow crease, Lateral part of right elbow, Lateral part of left elbow, Temple region of right temporal part of head, Temple region of left temporal part of head, Right pinna, Left pinna, Upper lip, Lower lip, Philtrum, Vermilion of upper lip, Vermilion of lower lip, Upper lip proper, Lower lip proper, Zygomatic part of right cheek, Zygomatic part of left cheek, Infra-orbital part of right cheek, Infra-orbital part of left cheek, Lobule of pinna, Helix, Antihelix, Tragus, Antitragus, Conchal part of pinna, Subdivision of conchal part of pinna, Triangular fossa of antihelix, Tubercle of pinna, Fossa of antihelix, Apex of pinna, Isthmus of external acoustic tube, External part of external acoustic tube, Middle part of external acoustic tube, Inner part of external acoustic tube, Wall of external acoustic tube, Pre-auricular part of right cheek, Pre-auricular part of left cheek, Right mastoid part of head, Left mastoid part of head, Right external acoustic tube, Left external acoustic tube, Anterior part of right knee, Anterior part of left knee, Popliteal part of right knee, Popliteal part of left knee, Right cheek proper, Left cheek proper, Lateral part of right cheek, Lateral part of left cheek, Right infrascapular part of back, Left infrascapular part of back, Anterior part of right wrist, Anterior part of left wrist, Posterior part of right wrist, Posterior part of left wrist, Anterior part of right ankle, Anterior part of left ankle, Posterior part of right ankle, Posterior part of left ankle, Lateral retromalleolar region, Medial retromalleolar region, Patellar part of knee, Anterior part proper of knee, Medial part of right knee, Medial part of left knee, Lateral part of right knee, Lateral part of left knee, Posterior part proper of elbow, Olecranon region, Right scapular part of back, Left scapular part of back, Rim of helix, Posterior wall of external acoustic tube, Anterior wall of external acoustic tube, Inferior wall of external acoustic tube, Right side of upper lip proper, Left side of upper lip proper, Lateral crest of philtrum, Philtrum proper, Vermilion proper of upper lip, Vermilion proper of lower lip, Vermilion border region of upper lip, Vermilion border region of lower lip, Right side of lower lip proper, Left side of lower lip proper, Groove of philtrum proper, Vermilion of philtrum, Vermilion proper of philtrum, Vermilion border region of philtrum, Tubercle of upper lip, Lobule of right pinna, Lobule of left pinna, Right helix, Left helix, Right antihelix, Left antihelix, Right tragus, Left tragus, Right antitragus, Left antitragus, Conchal part of right pinna, Conchal part of left pinna, Crus of helix, Spine of helix, Tail of helix, Cymba conchae of pinna, Concha proper of pinna, Triangular fossa of right antihelix, Triangular fossa of left antihelix, Tubercle of right pinna, Tubercle of left pinna, Fossa of right antihelix, Fossa of left antihelix, Apex of right pinna, Apex of left pinna, Isthmus of right external acoustic meatus, Isthmus of left external acoustic meatus, Inner part of right external acoustic tube, Inner part of left external acoustic tube, Middle part of right external acoustic tube, Middle part of left external acoustic tube, External part of right external acoustic tube, External part of left external acoustic tube, Wall of right external acoustic tube, Wall of left external acoustic tube, Wall of external part of external acoustic tube, Wall of middle part of external acoustic tube, Wall of inner part of external acoustic tube, Medial malleolar part of right ankle, Medial malleolar part of left ankle, Lateral malleolar part of right ankle, Lateral malleolar part of left ankle, Supratragic tubercle, Right lateral retromalleolar region, Left lateral retromalleolar region, Right medial retromalleolar region, Left medial retromalleolar region, Patellar part of right knee, Patellar part of left knee, Anterior part proper of right knee, Anterior part proper of left knee, Posterior part proper of right elbow, Posterior part proper of left elbow, Right olecranon region, Left olecranon region, Posterior wall of right external acoustic tube, Posterior wall of left external acoustic tube, Anterior wall of right external acoustic tube, Anterior wall of left external acoustic tube, Inferior wall of right external acoustic tube, Inferior wall of left external acoustic tube, Right supratragic tubercle, Left supratragic tubercle, Right lateral crest of philtrum, Left lateral crest of philtrum, Tail of right helix, Tail of left helix, Spine of right helix, Spine of helical part of left pinna, Crus of right helix, Crus of left helix, Cymba conchae of right pinna, Cymba conchae of left pinna, Concha proper of right pinna, Concha proper of left pinna, Wall of inner part of right external acoustic tube, Wall of inner part of left external acoustic tube, Wall of middle part of right external acoustic tube, Wall of middle part of left external acoustic tube, Wall of external part of right external acoustic tube, Wall of external part of left external acoustic tube, Sacro-iliac joint, Sternoclavicular joint, Acromioclavicular joint, Glenohumeral joint, Synovial joint of free upper limb segment, Synovial joint of free lower limb segment, Hip joint, Intermetatarsal joint, Interphalangeal joint, Right sacroiliac joint, Left sacroiliac joint, Right sternoclavicular joint, Left sternoclavicular joint, Right acromioclavicular joint, Left acromioclavicular joint, Right glenohumeral joint, Left glenohumeral joint, Synovial joint of hand, Synovial joint of foot, Knee joint, Right hip joint, Left hip joint, Ankle joint, Transverse tarsal joint, Intercuneiform joint, Tarsometatarsal joint, First intermetatarsal joint, Second intermetatarsal joint, Metatarsophalangeal joint, Interphalangeal joint of toe, Interphalangeal joint of finger, Elbow joint, Radiocarpal joint, Humeroulnar joint, Humeroradial joint, Radio-ulnar joint, Tibiofemoral joint, Patellofemoral joint, Intertarsal joint, Third intermetatarsal joint, Fourth intermetatarsal joint, Synovial joint of finger, Proximal interphalangeal joint of finger, Middle interphalangeal joint of finger, Distal interphalangeal joint of finger, Proximal interphalangeal joint of toe, Distal interphalangeal joint of toe, Metatarsophalangeal joint of lesser toe, Right knee joint, Left knee joint, Right ankle joint, Left ankle joint, Talocalcaneal joint, Right transverse tarsal joint, Left transverse tarsal joint, Talocalcaneonavicular joint, Calcaneocuboid joint, Cuneonavicular joint, Right intercuneiform joint, Left intercuneiform joint, Right tarsometatarsal joint, Left tarsometatarsal joint, Metatarsophalangeal joint of big toe, Metatarsophalangeal joint of second toe, Metatarsophalangeal joint of third toe, Metatarsophalangeal joint of fourth toe, Metatarsophalangeal joint of little toe, Metacarpophalangeal joint, Carpometacarpal joint, Intermetacarpal joint, Distal radio-ulnar joint, Intercarpal joint, Right elbow joint, Left elbow joint, Right wrist joint, Left wrist joint, Interphalangeal joint of thumb, Interphalangeal joint of big toe, Interphalangeal joint of second toe, Interphalangeal joint of third toe, Interphalangeal joint of fourth toe, Interphalangeal joint of little toe, Interphalangeal joint of index finger, Interphalangeal joint of middle finger, Interphalangeal joint of ring finger, Interphalangeal joint of little finger, Right humeroulnar joint, Left humeroulnar joint, Right humeroradial joint, Left humeroradial joint, Proximal radio-ulnar joint, Right tibiofemoral joint, Left tibiofemoral joint, Right patellofemoral joint, Left patellofemoral joint, Right intertarsal joint, Left intertarsal joint, Cuboideonavicular joint, Cuneocuboid joint, First tarsometatarsal joint, Second tarsometatarsal joint, Third tarsometatarsal joint, Fourth tarsometatarsal joint, Fifth tarsometatarsal joint, Medial-intermediate intercuneiform joint, Lateral-intermediate intercuneiform joint, Right first intermetatarsal joint, Left first intermetatarsal joint, Right second intermetatarsal joint, Left second intermetatarsal joint, Right third intermetatarsal joint, Left third intermetatarsal joint, Right fourth intermetatarsal joint, Left fourth intermetatarsal joint, Scapho-trapezial joint, Scapho-lunate joint, Synovial joint of thumb, Synovial joint of index finger, Synovial joint of middle finger, Synovial joint of ring finger, Synovial joint of little finger, Proximal interphalangeal joint of lesser toe, Distal interphalangeal joint of lesser toe, Right talocalcaneal joint, Left talocalcaneal joint, Right talocalcaneonavicular joint, Left talocalcaneonavicular joint, Right calcaneocuboid joint, Left calcaneocuboid joint, Right cuneonavicular joint, Left cuneonavicular joint, Metatarsophalangeal joint of right big toe, Metatarsophalangeal joint of left big toe, Metatarsophalangeal joint of right second toe, Metatarsophalangeal joint of left second toe, Metatarsophalangeal joint of right third toe, Metatarsophalangeal joint of left third toe, Metatarsophalangeal joint of right fourth toe, Metatarsophalangeal joint of left fourth toe, Metatarsophalangeal joint of right little toe, Metatarsophalangeal joint of left little toe, Metacarpophalangeal joint of thumb, Metacarpophalangeal joint of index finger, Metacarpophalangeal joint of middle finger, Metacarpophalangeal joint of ring finger, Metacarpophalangeal joint of little finger, Midcarpal joint, Right distal radio-ulnar joint, Left distal radio-ulnar joint, Interphalangeal joint of right thumb, Interphalangeal joint of left thumb, Proximal interphalangeal joint of index finger, Proximal interphalangeal joint of middle finger, Proximal interphalangeal joint of ring finger, Proximal interphalangeal joint of little finger, Distal interphalangeal joint of index finger, Distal interphalangeal joint of middle finger, Distal interphalangeal joint of ring finger, Distal interphalangeal joint of little finger, Interphalangeal joint of right big toe, Interphalangeal joint of left big toe, Interphalangeal joint of right second toe, Interphalangeal joint of left second toe, Interphalangeal joint of right third toe, Interphalangeal joint of left third toe, Interphalangeal joint of right fourth toe, Interphalangeal joint of left fourth toe, Interphalangeal joint of right little toe, Interphalangeal joint of left little toe, Proximal interphalangeal joint of second toe, Distal interphalangeal joint of second toe, Proximal interphalangeal joint of third toe, Distal interphalangeal joint of third toe, Proximal interphalangeal joint of fourth toe, Distal interphalangeal joint of fourth toe, Proximal interphalangeal joint of little toe, Distal interphalangeal joint of little toe, Carpometacarpal joint of thumb, Second carpometacarpal joint, Third carpometacarpal joint, Fourth carpometacarpal joint, Fifth carpometacarpal joint, Right proximal radio-ulnar joint, Left proximal radio-ulnar joint, Pisotriquetral joint, Right cuboideonavicular joint, Left cuboideonavicular joint, Right cuneocuboid joint, Left cuneocuboid joint, Right first tarsometatarsal joint, Left first tarsometatarsal joint, Right second tarsometatarsal joint, Left second tarsometatarsal joint, Right third tarsometatarsal joint, Left third tarsometatarsal joint, Right fourth tarsometatarsal joint, Left fourth tarsometatarsal joint, Right fifth tarsometatarsal joint, Left fifth tarsometatarsal joint, Intermetacarpal joint of second and third metacarpal bones, Intermetacarpal joint of third and fourth metacarpal bones, Intermetacarpal joint of fourth and fifth metacarpal bones, Pisiform joint, Right medial-intermediate intercuneiform joint, Left medial-intermediate intercuneiform joint, Right lateral-intermediate intercuneiform joint, Left lateral-intermediate intercuneiform joint, Metacarpophalangeal joint of right thumb, Metacarpophalangeal joint of left thumb, Metacarpophalangeal joint of right index finger, Metacarpophalangeal joint of left index finger, Metacarpophalangeal joint of right middle finger, Metacarpophalangeal joint of left middle finger, Metacarpophalangeal joint of right ring finger, Metacarpophalangeal joint of left ring finger, Metacarpophalangeal joint of right little finger, Metacarpophalangeal joint of left little finger, Right midcarpal joint, Left midcarpal joint, Proximal interphalangeal joint of right index finger, Proximal interphalangeal joint of left index finger, Proximal interphalangeal joint of right middle finger, Proximal interphalangeal joint of left middle finger, Proximal interphalangeal joint of right ring finger, Proximal interphalangeal joint of left ring finger, Proximal interphalangeal joint of right little finger, Proximal interphalangeal joint of left little finger, Distal interphalangeal joint of right index finger, Distal interphalangeal joint of left index finger, Distal interphalangeal joint of right middle finger, Distal interphalangeal joint of left middle finger, Distal interphalangeal joint of right ring finger, Distal interphalangeal joint of left ring finger, Distal interphalangeal joint of right little finger, Distal interphalangeal joint of left little finger, Distal interphalangeal joint of right second toe, Distal interphalangeal joint of left second toe, Proximal interphalangeal joint of right second toe, Proximal interphalangeal joint of left second toe, Distal interphalangeal joint of right third toe, Distal interphalangeal joint of left third toe, Proximal interphalangeal joint of right third toe, Proximal interphalangeal joint of left third toe, Proximal interphalangeal joint of right fourth toe, Proximal interphalangeal joint of left fourth toe, Distal interphalangeal joint of right fourth toe, Distal interphalangeal joint of left fourth toe, Proximal interphalangeal joint of right little toe, Proximal interphalangeal joint of left little toe, Distal interphalangeal joint of right little toe, Distal interphalangeal joint of left little toe, Carpometacarpal joint of right thumb, Carpometacarpal joint of left thumb, Right second carpometacarpal joint, Left second carpometacarpal joint, Right third carpometacarpal joint, Left third carpometacarpal joint, Right fourth carpometacarpal joint, Left fourth carpometacarpal joint, Right fifth carpometacarpal joint, Left fifth carpometacarpal joint, Right pisotriquetral joint, Left pisotriquetral joint, Intermetacarpal joint of right second and third metacarpal bones, Intermetacarpal joint of left second and third metacarpal bones, Intermetacarpal joint of right third and fourth metacarpal bones, Intermetacarpal joint of left third and fourth metacarpal bones, Intermetacarpal joint of right fourth and fifth metacarpal bones, Intermetacarpal joint of left fourth and fifth metacarpal bones, Right pisiform joint, Left pisiform joint, unknown, other site","",TRUE,"","","","string","","","",""
"vitiligoPattern","A high-level classification of vitiligo based on the distribution and patterning of lesions across the body.","mixed, non-segmental, segmental, unclassified","",FALSE,"","","","string","","","",""
"vitiligoPhenotype","Classification of vitiligo lesions which correlate with autoimmune activity and result in specific skin and depigmentation manifestations at the lesion site. If N/A please select 'none'. Multiple selections can be provided in a comma-delimited list.","active, confetti, inflammatory, none, trichrome","",TRUE,"","","list like error","string_list","","","",""
"psoriasisType","General type classification of psoriasis disease manifestation.","erythrodermic, guttate, inverse, plaque, pustular","",FALSE,"","","","string","","","",""
"ageDiagnosis","Age at which subject was diagnosed with `diagnosis`. If providing this value be sure the unit matches that used for `age`.","","",FALSE,"","","num error","number","","","",""
"age","Age at which subject was enrolled in study or age at corresponding visit and data collection event. If value unknown, enter '-1'.","","",TRUE,"","","num error","number","","","",""
"ageUnits","The unit of measure used for `ageEnrollment` and `ageDiagnosis`","months, years","",TRUE,"","","","string","","","",""
"sex","A textual description of a person's sex at birth.","female, intersex, male, unknown","",TRUE,"","","","string","","","",""
"height","Standing height of subject.","","",TRUE,"","","num error","number","","","",""
"race","A textual description of a person's race.","American Indian or Alaska Native, Asian, Black or African American, Hispanic, Mixed Race, Native Hawaiian or Other Pacific Islander, White, other, unknown","",FALSE,"","","","string","","","",""
"ethnicity","The ethnicity of a person.","Hispanic or Latino, Not Hispanic or Latino, unknown","",FALSE,"","","","string","","","",""
"heightUnits","Unit of measure of value provided for `height`.","centimeters, feet, inches, meters","",TRUE,"","","","string","","","",""
"weight","Weight of subject. If value unknown, enter '-1'.","","",TRUE,"","","num error","number","","","",""
"weightUnits","Abbreviated unit of measure of value provided for `weight`.","g, kg, lb, oz","",TRUE,"","","","string","","","",""
"comorbidities","Any diseases or medical condition that is simultaneously present in addition to `diagnosis`.","Hashimoto's Thyroiditis, autoimmune thyroid disease, cardiovascular disease, diabetes, inflammatory bowel disease, multiple sclerosis, other, psoriasis, psoriatic arthritis, pulmonary disease, rheumatoid arthritis, systemic lupus erythematosus","",FALSE,"","","list like error","string_list","","","",""
"diabetesType","Type of diabetes mellitus.","gestational, type 1, type 2, unknown","",FALSE,"","","","string","","","",""
"VIDA","Vitiligo Disease Activity Score, a six-point scale that evaluates the activity of vitiligo","","",FALSE,"","","","string","","","",""
"VASI","Total body Vitiligo Area Severity Index, a measure of the percentage of vitiligo involvement across the body calculated in terms of hand units.","","",FALSE,"","","","string","","","",""
"VETI","Vitiligo Extent Tensity Index measures the extent of vitiligo by a numerical score and combines analysis of extensity and severity of vitiligo to produce a constant and reproducible number.","","",FALSE,"","https://doi.org/10.5826/dpc.0404a18","num error","number","","","",""
"PASI","Psoriasis Area and Severity Index, is a measurement of the discoloration, thickness, scaling, and coverage of psoriasis plaques.","","",FALSE,"","","","string","","","",""
"CDASI","Cutaneous Dermatomyositis Disease Area and Severity Index, is a measurement used to characterize cutaneous dermatomyositis severity.","","",FALSE,"","","","string","","","",""
"inputCellCount","An estimate of the number of cells expected to be sequenced in a library. Software that process single-cell sequencing data often include options for users to specify this value to improve processing results.","","",TRUE,"","","int error","integer","","","",""
"totalReads","Total number of reads sequenced from the library.","","",TRUE,"","","int error","integer","","","",""
"FACSPopulation","A description of the marker gating strategy used to derive the population cells with FACS.","","",TRUE,"","","","string","","","",""
"cellType","The cell type name from Cell Ontology for the corresponding CL identifier.","","",FALSE,"","","","string","","","",""
"userDefinedCellType","User-defined label of a cell type. Contributors are provided this option to use preferred or custom cell type labels that may vary from options and standards set by Cell Ontology.","","",FALSE,"","","","string","","","",""
"krennInflammatory","A standardized, semi-quantitative measure of the degree of inflammatory infiltrate in synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, enter '-1'.","","",FALSE,"","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennLining","A standardized, semi-quantitative measure of the degree of hyperplasia/enlargement of the synovial lining layer of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, use '-1'.","","",FALSE,"","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennStroma","A standardized, semi-quantitative measure of stromal cell density of synovial specimen. This is one of three measures used to derive the Krenn Synovitis Score (KSS) which is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, enter '-1'.","","",FALSE,"","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"krennSynovitisScore","The Krenn Synovitis Score (KSS) is a histological scoring system used to quantify inflammation in synovial tissue biopsies, particularly in the context of inflammatory arthritis like rheumatoid arthritis. If value unknown, use '-1'.","","",FALSE,"","https://doi.org/10.1111/j.1365-2559.2006.02508.x","num error","number","","","",""
"datasetStatus","A categorical label indicating the status of an ARK Portal dataset. This is applied to improve downstream management of datasets as well as various ETL workflows.","deprecated, released, test, under peer review, unreleased","",TRUE,"","","","string","","","",""
"sampleProcessingBatch","A label indicating batching of sample processing or preparation that occurs prior to data collection.","","",FALSE,"","","","string","","","",""
"dataCollectionBatch","A label indicating batching that occurs during data collection, e.g., collecting data across multiple days.","","",FALSE,"","","","string","","","",""
"metadataStandards","Metadata standards used to generate the metadata","ARK data model, user-defined","",FALSE,"","","","string","","","",""
"skinSunExposure","For skin-based biospecimen, this attribute indicates whether the sample was collected from an anatomical site that does or does not receive routine sun exposure.","not sun exposed, sun exposed","",FALSE,"","","","string","","","",""
"sequencingSpikeIn","Pre-made sequencing libraries may be added to your sequencing run to improve sequencing results. If such a 'spike-in' library was used, this attribute specifies the name of the library and the percentage of the spike-in library used in the sequencing run.","","",FALSE,"","","","string","","","",""
"librarySpikeIn","Pre-made collections of nucleic acid fragments can be added to samples during the library construction process to improve downstream quantification and statistical analyses. If such a 'spike-in' was used, this attribute specifies the name and manufacturer of the spike-in.","","",FALSE,"","","","string","","","",""
"readLength","The number of base pairs (bp) sequenced for reads in a fastq file.","","",FALSE,"","","int error","integer","","","",""
"AMP RA/SLE","Accelerating Medicines Partnership Rheumatoid Arthritis and Systemic Lupus Erythematosus. Is a valid value for 'program' that triggers conditional dependencies for additional attributes.","","programPhase",FALSE,"","","","","","","",""
"plateID","An identifier assigned to a multi-well plate. Certain data types and assays profile samples using multi-well plates. Knowing which samples were profiled on each plate is important for establishing sample provenance, finding the right data files for a specific set of samples, as well as downstream exploratory data analysis and QC work particularly regarding identification and correction of batch effects.","","",FALSE,"","","","string","","","",""
"processedDataType","A label used for file annotations to provide a brief description of the processed data file.","barcode counts, differential expression results, epigenomic peaks, gene counts","",FALSE,"","","list like error","string_list","","","",""
"eventCount","The total number of events detected and captured in the corresponding FCS file. In cytometry, an event corresponds to particles detected and measured by the instrument. This number corresponds to the number of rows in the FCS file and is expected to be a whole integer number.","","",FALSE,"","","int error","integer","","","",""
"notes","Please use this attribute to captured pertinent details not otherwise captured. This is an unstructured text entry, please be concise.","","",FALSE,"","","","string","","","",""
"species","The genus species of sample or subject origin.","Homo sapiens","",TRUE,"","","","string","","","",""
"treatment","A short descriptive label indicating what experimental treatments have been applied to a biospecimen before data capture. Please include the word 'control' to indicate specific treatments that are intended to serve as a control group.","","",TRUE,"","","","string","","","",""
"treatmentTimepoint","Where applicable, specify the timepoint relative to treatment to distinguish different sets of samples that have undergone the same treatment but for different lengths of time. REQUIRED: please specify the unit of time, e.g., secs, mins, hrs, days, etc.","","",FALSE,"","","","string","","","",""
"slideID","A distinct label or name, unique within an experiment, assigned to an imaging slides.","","",TRUE,"","","","string","","","",""
"altSampleID","An alternate identifier for a sample. With some assays there can be default or alternate sample identifiers entered into the data collection software. If you will be uploading data collected with an alternate identifier please provide that here. In some cases, the ARK BDM team will use this field to capture original but out-dated identifiers for samples.","","",FALSE,"","","","string","","","",""
"sampleCollectionBatch","A label indicating batching of sample collection or experiment execution that occurs prior to data collection.","","",FALSE,"","","","string","","","",""
